tactic_id,technique_id,id2
12,4,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
4,4,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
4,5,attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48
12,5,attack-pattern--dcaa092b-7de9-4a21-977f-7fcb77e89c48
8,8,attack-pattern--b24e2a20-3b3d-4bf0-823b-1ed765398fb0
5,9,attack-pattern--72b74d71-8169-42aa-92e0-e7b04b9f5a08
11,10,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
14,11,attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2
13,12,attack-pattern--67073dde-d720-45ae-83da-b12d5e73ca3b
3,17,attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d
1,17,attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d
2,28,attack-pattern--355be19c-ffc9-46d5-8d50-d6a036c675b6
5,31,attack-pattern--4ae4f953-fe58-4cc8-a327-33257e30a830
1,33,attack-pattern--53ac20cd-aca3-406e-9aa0-9fc7fdc60a5a
1,41,attack-pattern--1035cdf2-3e5f-446f-a7a7-e8f6d7925967
1,44,attack-pattern--30208d3e-0d6b-43c8-883e-44462a514619
7,45,attack-pattern--774a3188-6ba9-4dc4-879d-d54ee48a5ce9
4,46,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7
11,46,attack-pattern--c8e87b83-edbb-48d4-9295-4974897525b7
11,52,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
12,52,attack-pattern--1ecb2399-e8ba-4f6b-8ba7-5c27d49405cf
11,53,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334
12,53,attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334
5,58,attack-pattern--5e4a2073-9643-44cb-a0b5-e7f4048446c7
11,59,attack-pattern--389735f1-f21c-4208-b8f0-f8031e7169b8
1,60,attack-pattern--544b0346-29ad-41e1-a808-501bb4193f47
3,61,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
4,62,attack-pattern--800f9819-7007-4540-a520-40e655876800
1,78,attack-pattern--30973a08-aed9-4edf-8604-9084ce1b5c4f
